model_key,category,clip_id,window_idx,frame_idx_in_window,frame_name,motion,depth,fused
Gen_CogVideoX_2b,object_centric_prompts,a1_0,1,0,frame_000010.png,0.002721,0.029002,0.020720
Gen_CogVideoX_2b,object_centric_prompts,a1_0,1,1,frame_000011.png,0.001536,0.029666,0.024587
Gen_CogVideoX_2b,object_centric_prompts,a1_0,1,2,frame_000012.png,0.001824,0.024514,0.018831
Gen_CogVideoX_2b,object_centric_prompts,a1_0,1,3,frame_000013.png,0.002174,0.031419,0.028418
Gen_CogVideoX_2b,object_centric_prompts,a1_0,1,4,frame_000014.png,0.003622,0.042918,0.039848
Gen_CogVideoX_2b,object_centric_prompts,a1_0,1,5,frame_000015.png,0.002600,0.031660,0.027740
Gen_CogVideoX_2b,object_centric_prompts,a1_0,1,6,frame_000016.png,0.002782,0.031595,0.026089
Gen_CogVideoX_2b,object_centric_prompts,a1_0,1,7,frame_000017.png,0.001353,0.032331,0.028716
Gen_CogVideoX_2b,object_centric_prompts,a1_0,1,8,frame_000018.png,0.003306,0.038740,0.034903
Gen_CogVideoX_2b,object_centric_prompts,a1_0,1,9,frame_000019.png,0.002210,0.031912,0.028313
Gen_CogVideoX_2b,object_centric_prompts,a1_0,1,10,frame_000020.png,0.001332,0.030453,0.026667
Gen_CogVideoX_2b,object_centric_prompts,a1_0,1,11,frame_000021.png,0.003836,0.036400,0.032903
Gen_CogVideoX_2b,object_centric_prompts,a1_0,1,12,frame_000022.png,0.001404,0.032976,0.030562
Gen_CogVideoX_2b,object_centric_prompts,a1_0,1,13,frame_000023.png,0.001706,0.040591,0.037371
Gen_CogVideoX_2b,object_centric_prompts,a1_0,1,14,frame_000024.png,0.001443,0.027900,0.024711
Gen_CogVideoX_2b,object_centric_prompts,a1_0,1,15,frame_000025.png,0.001943,0.043556,0.040237
Gen_CogVideoX_2b,object_centric_prompts,a1_0,1,16,frame_000026.png,0.003907,0.036454,0.033033
Gen_CogVideoX_2b,object_centric_prompts,a1_0,1,17,frame_000027.png,0.001422,0.041498,0.038969
Gen_CogVideoX_2b,object_centric_prompts,a1_0,1,18,frame_000028.png,0.001857,0.033726,0.027845
Gen_CogVideoX_2b,object_centric_prompts,a1_0,1,19,frame_000029.png,0.001352,0.034730,0.031364
Gen_CogVideoX_2b,object_centric_prompts,a1_0,1,20,frame_000030.png,0.002331,0.041004,0.037284
Gen_CogVideoX_2b,object_centric_prompts,a1_0,1,21,frame_000031.png,0.002579,0.035244,0.031872
Gen_CogVideoX_2b,object_centric_prompts,a1_0,1,22,frame_000032.png,0.001563,0.030427,0.026805
Gen_CogVideoX_2b,object_centric_prompts,a1_0,1,23,frame_000033.png,0.001443,0.040041,0.037268
Gen_CogVideoX_2b,object_centric_prompts,a1_0,1,24,frame_000034.png,0.001722,0.041014,0.037181
Gen_CogVideoX_2b,object_centric_prompts,a1_0_deform,1,0,frame_00010.png,0.005588,0.025779,0.016864
Gen_CogVideoX_2b,object_centric_prompts,a1_0_deform,1,1,frame_00011.png,0.004249,0.035878,0.028554
Gen_CogVideoX_2b,object_centric_prompts,a1_0_deform,1,2,frame_00012.png,0.001653,0.018781,0.012220
Gen_CogVideoX_2b,object_centric_prompts,a1_0_deform,1,3,frame_00013.png,0.067555,0.066466,0.066773
Gen_CogVideoX_2b,object_centric_prompts,a1_0_deform,1,4,frame_00014.png,0.048820,0.083780,0.083409
Gen_CogVideoX_2b,object_centric_prompts,a1_0_deform,1,5,frame_00015.png,0.004649,0.021505,0.014646
Gen_CogVideoX_2b,object_centric_prompts,a1_0_deform,1,6,frame_00016.png,0.002217,0.019927,0.012776
Gen_CogVideoX_2b,object_centric_prompts,a1_0_deform,1,7,frame_00017.png,0.001787,0.022765,0.014531
Gen_CogVideoX_2b,object_centric_prompts,a1_0_deform,1,8,frame_00018.png,0.004815,0.024918,0.017701
Gen_CogVideoX_2b,object_centric_prompts,a1_0_deform,1,9,frame_00019.png,0.003546,0.023964,0.017289
Gen_CogVideoX_2b,object_centric_prompts,a1_0_deform,1,10,frame_00020.png,0.002218,0.022394,0.014088
Gen_CogVideoX_2b,object_centric_prompts,a1_0_deform,1,11,frame_00021.png,0.003921,0.027204,0.017092
Gen_CogVideoX_2b,object_centric_prompts,a1_0_deform,1,12,frame_00022.png,0.002538,0.029287,0.019772
Gen_CogVideoX_2b,object_centric_prompts,a1_0_deform,1,13,frame_00023.png,0.007371,0.057555,0.047722
Gen_CogVideoX_2b,object_centric_prompts,a1_0_deform,1,14,frame_00024.png,0.001777,0.020127,0.013939
Gen_CogVideoX_2b,object_centric_prompts,a1_0_deform,1,15,frame_00025.png,0.003275,0.020566,0.014538
Gen_CogVideoX_2b,object_centric_prompts,a1_0_deform,1,16,frame_00026.png,0.003315,0.022847,0.015868
Gen_CogVideoX_2b,object_centric_prompts,a1_0_deform,1,17,frame_00027.png,0.001424,0.025059,0.017558
Gen_CogVideoX_2b,object_centric_prompts,a1_0_deform,1,18,frame_00028.png,0.002412,0.024777,0.016354
Gen_CogVideoX_2b,object_centric_prompts,a1_0_deform,1,19,frame_00029.png,0.002367,0.028712,0.019196
Gen_CogVideoX_2b,object_centric_prompts,a1_0_deform,1,20,frame_00030.png,0.005899,0.034748,0.024195
Gen_CogVideoX_2b,object_centric_prompts,a1_0_deform,1,21,frame_00031.png,0.002288,0.035497,0.027262
Gen_CogVideoX_2b,object_centric_prompts,a1_0_deform,1,22,frame_00032.png,0.001121,0.027077,0.019172
Gen_CogVideoX_2b,object_centric_prompts,a1_0_deform,1,23,frame_00033.png,0.003897,0.029301,0.020418
Gen_CogVideoX_2b,object_centric_prompts,a1_0_deform,1,24,frame_00034.png,0.003130,0.033959,0.022637
